hotel_name,city,country,price_per_night_text,price_per_night,rating,review_count_text,review_count,stars,location,amenities
Vipol Mui Ne Hotel & Spa,Phan Thiet,Vietnam,"₫ 1,028,935",1028935,9.1 Exceptional,"2,456 reviews",2456.0,4.0,"Mui Ne, Phan Thiet - City center","['Breakfast', 'Free fitness center access', '+8']"
Movenpick Resort Phan Thiet,Phan Thiet,Vietnam,"₫ 1,966,086",1966086,8.7 Excellent,"3,798 reviews",3798.0,5.0,"Tien Thanh, Phan Thiet - 18.2 km to center","['Breakfast', 'Parking', 'Lunch included', '+5']"
Villa đa lat Trung Nghia 1,Dalat,Vietnam,"₫ 185,185",185185,8.0 Excellent,230 reviews,230.0,4.0,"Old Train Station, Dalat - 2.0 km to center","['Express check-in', 'Free WiFi']"
MerPerle Dalat Hotel,Dalat,Vietnam,"₫ 1,586,971",1586971,8.9 Excellent,"1,980 reviews",1980.0,5.0,"Old Train Station, Dalat - 1.7 km to center","['Breakfast', 'Free fitness center access', '+4']"
La Fleur Premium Central Apartment Hotel,Dalat,Vietnam,"₫ 797,884",797884,9.2 Exceptional,"2,241 reviews",2241.0,4.0,"Dalat City Center, Dalat - 0.4 km to center","['Breakfast', 'Free fitness center access', '+4']"
Terracotta Hotel and Resort Dalat,Dalat,Vietnam,"₫ 1,367,803",1367803,8.7 Excellent,"8,362 reviews",8362.0,4.0,"Tuyen Lam Lake, Dalat - 4.9 km to center","['Breakfast', 'Free fitness center access', '+4']"
Goldient Boutique Hotel,Dalat,Vietnam,"₫ 989,281",989281,9.1 Exceptional,"2,144 reviews",2144.0,4.0,"Dalat City Center, Dalat - 1.6 km to center","['Breakfast', 'Free fitness center access', '+8']"
Swiss-Belresort Tuyen Lam Dalat,Dalat,Vietnam,"₫ 831,944",831944,8.7 Excellent,"4,404 reviews",4404.0,4.0,"Tuyen Lam Lake, Dalat - 6.5 km to center","['Breakfast', 'Free fitness center access', '+6']"
Mùa Dalat Wellness Hotel,Dalat,Vietnam,"₫ 1,074,565",1074565,9.2 Exceptional,568 reviews,568.0,4.0,"Dalat City Center, Dalat - 0.9 km to center","['Breakfast', 'Welcome drink', '+9']"
Ana Mandara Villas Dalat Resort & Spa,Dalat,Vietnam,"₫ 2,163,030",2163030,8.9 Excellent,"4,861 reviews",4861.0,5.0,"Dalat City Center, Dalat - 0.5 km to center","['Breakfast', 'Parking', 'Free WiFi', '+1']"
