hotel_name,city,country,price_per_night_text,price_per_night,rating,review_count_text,review_count,stars,location,amenities
Muong Thanh Luxury Song Han Hotel,Da Nang,Vietnam,"₫ 875,000",875000,8.3 Excellent,"3,534 reviews",3534.0,5.0,"Hải Châu, Da Nang - 0.1 km to center","['Breakfast', 'Free fitness center access', '+6']"
Golden Lotus Hotel Da Nang - Rooftop Bar Sea View,Da Nang,Vietnam,"₫ 884,616",884616,9.3 Exceptional,"3,845 reviews",3845.0,4.0,"Phước Mỹ, Da Nang - 2.6 km to center","['Breakfast', 'Welcome drink', 'Late check-out', '+10']"
Everland Hotel,Da Nang,Vietnam,"₫ 500,914",500914,8.3 Excellent,"1,751 reviews",1751.0,4.0,"An Hai Bac, Da Nang - 1.3 km to center","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Sandy Beach Non Nuoc Resort,Da Nang,Vietnam,"₫ 682,531",682531,8.0 Excellent,"4,434 reviews",4434.0,4.0,"Hòa Hải, Da Nang - 8.7 km to center","['Breakfast', 'Free fitness center access', '+2']"
Awaken Danang Hotel,Da Nang,Vietnam,"₫ 1,269,841",1269841,9.0 Exceptional,"4,026 reviews",4026.0,5.0,"Phước Mỹ, Da Nang - 2.1 km to center","['Breakfast', 'Free fitness center access', '+8']"
Stella Maris Beach Danang,Da Nang,Vietnam,"₫ 1,137,116",1137116,9.2 Exceptional,"7,681 reviews",7681.0,4.0,"Phước Mỹ, Da Nang - 2.1 km to center","['Breakfast', 'Free fitness center access', '+5']"
The Ocean Estates Resort,Da Nang,Vietnam,"₫ 10,440,134",10440134,9.2 Exceptional,70 reviews,70.0,5.0,"Hòa Hải, Da Nang - 9.4 km to center",[]
Cherry Hotel & Apartment,Da Nang,Vietnam,"₫ 285,089",285089,8.7 Excellent,"1,359 reviews",1359.0,4.0,"Phước Mỹ, Da Nang - 2.4 km to center","['Free pool access', 'Free Premium Wifi', '+3']"
Diamond Sea Hotel,Da Nang,Vietnam,"₫ 895,459",895459,9.1 Exceptional,"6,223 reviews",6223.0,4.0,"Phước Mỹ, Da Nang - 2.1 km to center","['Breakfast', 'Free fitness center access', '+8']"
Nha Trang Palace Hotel,Nha Trang,Vietnam,"₫ 486,264",486264,8.6 Excellent,"2,985 reviews",2985.0,4.0,"Loc Tho, Nha Trang - 0.7 km to center","['Breakfast', 'Parking', 'Free Premium Wifi', '+3']"
Havana Nha Trang Hotel,Nha Trang,Vietnam,"₫ 1,059,089",1059089,9.0 Exceptional,"21,643 reviews",21643.0,5.0,"Loc Tho, Nha Trang - 0.2 km to center","['Breakfast', 'Free fitness center access', '+5']"
Panorama Nha Trang Star Beach,Nha Trang,Vietnam,"₫ 576,943",576943,8.6 Excellent,"3,996 reviews",3996.0,5.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Free WiFi', 'Free fitness center access']"
Amiana Resort Cam Ranh,Nha Trang,Vietnam,"₫ 3,288,445",3288445,8.5 Excellent,743 reviews,743.0,5.0,"Cam Hải Đông, Nha Trang - 13.3 km to center","['Breakfast', 'Free fitness center access', '+9']"
Sata Hotel,Nha Trang,Vietnam,"₫ 510,205",510205,9.0 Exceptional,"6,349 reviews",6349.0,3.0,"Tân Lập, Nha Trang - City center",[]
Muong Thanh Luxury Nha Trang Hotel,Nha Trang,Vietnam,"₫ 972,222",972222,8.7 Excellent,"4,174 reviews",4174.0,5.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Welcome drink', 'Parking', '+2']"
Florida Hotel,Nha Trang,Vietnam,"₫ 444,797",444797,8.4 Excellent,"1,674 reviews",1674.0,5.0,"Loc Tho, Nha Trang - 0.4 km to center","['Breakfast', 'Free fitness center access', '+7']"
Hon Tam Resort (former name Merperle Hon Tam Resort),Nha Trang,Vietnam,"₫ 1,858,951",1858951,8.5 Excellent,"5,287 reviews",5287.0,5.0,"Hon Tam, Nha Trang - 6.4 km to center","['Breakfast', 'Welcome drink', 'Late check-out', '+3']"
Radisson Blu Resort Cam Ranh,Nha Trang,Vietnam,"₫ 2,438,333",2438333,8.8 Excellent,"3,823 reviews",3823.0,5.0,"Cam Hải Đông, Nha Trang - 19.5 km to center","['Breakfast', 'Parking', 'Lunch included', '+3']"
Comodo Nha Trang Hotel,Nha Trang,Vietnam,"₫ 981,238",981238,8.8 Excellent,"3,241 reviews",3241.0,5.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Free fitness center access', '+6']"
Ana Mandara Cam Ranh,Nha Trang,Vietnam,"₫ 3,288,154",3288154,8.8 Excellent,"6,257 reviews",6257.0,5.0,"Cam Hải Đông, Nha Trang - 15.8 km to center","['Breakfast', 'Free fitness center access', '+6']"
Meliá Vinpearl Nha Trang Empire,Nha Trang,Vietnam,"₫ 1,277,865",1277865,8.9 Excellent,"4,541 reviews",4541.0,5.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Free WiFi', '+3']"
Holi Panorama Condotel,Nha Trang,Vietnam,"₫ 409,080",409080,8.1 Excellent,"5,260 reviews",5260.0,4.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Free fitness center access', '+3']"
StarCity Nha Trang Hotel,Nha Trang,Vietnam,"₫ 671,800",671800,8.7 Excellent,"4,262 reviews",4262.0,5.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Free fitness center access', '+8']"
Sunset view room •5 mins walk to the sea,Nha Trang,Vietnam,"₫ 192,095",192095,,,,2.0,"Vinh Hai, Nha Trang - 4.0 km to center",['Wi-Fi']
Vinpearl Resort Nha Trang,Nha Trang,Vietnam,"₫ 2,244,426",2244426,8.8 Excellent,"7,372 reviews",7372.0,5.0,"Hon Tre, Nha Trang - 4.8 km to center","['Breakfast', 'Free fitness center access', '+8']"
Mojzo Inn Boutique,Nha Trang,Vietnam,"₫ 511,850",511850,9.2 Exceptional,"4,965 reviews",4965.0,2.0,"Loc Tho, Nha Trang - City center",[]
Muong Thanh Luxury Khanh Hoa,Nha Trang,Vietnam,"₫ 840,344",840344,8.9 Excellent,"3,123 reviews",3123.0,5.0,"Xuong Huan, Nha Trang - 1.6 km to center","['Breakfast', 'Free fitness center access', '+5']"
Liberty Central Nha Trang Hotel,Nha Trang,Vietnam,"₫ 715,741",715741,8.9 Excellent,"5,673 reviews",5673.0,4.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Free fitness center access', '+4']"
Citadines Bayfront Nha Trang,Nha Trang,Vietnam,"₫ 1,170,000",1170000,8.9 Excellent,"4,474 reviews",4474.0,5.0,"Loc Tho, Nha Trang - City center","['Breakfast', 'Welcome drink', 'Free WiFi']"
The Signature Hoi An,Hoi An,Vietnam,"₫ 1,723,227",1723227,9.2 Exceptional,"1,580 reviews",1580.0,5.0,"Minh An, Hoi An - City center","['Breakfast', 'Free fitness center access', '+4']"
Grand Sunrise Palace Hoi An,Hoi An,Vietnam,"₫ 1,797,481",1797481,9.7 Exceptional,"7,397 reviews",7397.0,5.0,"Cam Chau, Hoi An - 0.8 km to center","['Breakfast', 'Free fitness center access', '+11']"
La Siesta Hoi An Resort & Spa,Hoi An,Vietnam,"₫ 2,187,186",2187186,9.2 Exceptional,"6,179 reviews",6179.0,5.0,"Thanh Ha, Hoi An - City center","['Breakfast', 'Free fitness center access', '+8']"
Ancient Town Hotel,Hoi An,Vietnam,"₫ 542,167",542167,9.4 Exceptional,252 reviews,252.0,4.0,"Cẩm Phô, Hoi An - City center","['Breakfast', 'Welcome drink', 'Late check-out', '+7']"
RAON HOI AN VILLA,Hoi An,Vietnam,"₫ 300,577",300577,9.6 Exceptional,226 reviews,226.0,4.0,"Cam Thanh, Hoi An - 2.1 km to center","['Breakfast', 'Local breakfast', 'Parking', '+8']"
Calla Hotel - 4 minute walk to the Ancient Town,Hoi An,Vietnam,"₫ 428,213",428213,9.6 Exceptional,213 reviews,213.0,3.0,"Cẩm Phô, Hoi An - City center","['Parking', 'Late check-in', 'Free WiFi', '+2']"
Mulberry Collection Silk Eco,Hoi An,Vietnam,"₫ 1,382,907",1382907,9.0 Exceptional,"2,677 reviews",2677.0,4.0,"Cẩm Phô, Hoi An - City center",[]
Hotel Hoi An Front Beach,Hoi An,Vietnam,"₫ 310,783",310783,9.2 Exceptional,353 reviews,353.0,4.0,"Cửa Đại, Hoi An - 2.7 km to center","['Breakfast', 'Welcome drink', 'Late check-out', '+7']"
Reu Boutique Hotel,Hoi An,Vietnam,"₫ 1,500,212",1500212,9.5 Exceptional,713 reviews,713.0,4.0,"Cam Chau, Hoi An - 0.7 km to center","['Breakfast', 'Free fitness center access', '+8']"
The Pearl Hoi An,Hoi An,Vietnam,"₫ 1,852,812",1852812,8.3 Excellent,"4,365 reviews",4365.0,5.0,"Cam An, Hoi An - 3.8 km to center","['Breakfast', 'Parking', 'Free WiFi', '+3']"
RiverTown Hoi An Resort & Spa,Hoi An,Vietnam,"₫ 1,484,922",1484922,9.2 Exceptional,"9,982 reviews",9982.0,5.0,"Cẩm Phô, Hoi An - City center","['Breakfast', 'Free fitness center access', '+10']"
LEGACY HOI AN RESORT,Hoi An,Vietnam,"₫ 1,042,437",1042437,9.0 Exceptional,"2,752 reviews",2752.0,4.0,"Cam Thanh, Hoi An - 1.3 km to center","['Breakfast', 'Free fitness center access', '+6']"
Bliss Hoi An Beach Resort & Wellness,Hoi An,Vietnam,"₫ 2,257,344",2257344,9.1 Exceptional,"2,443 reviews",2443.0,5.0,"Thang Binh, Hoi An - 14.4 km to center","['Breakfast', 'Free fitness center access', '+16']"
Chillax Old Town Villa,Hoi An,Vietnam,"₫ 730,849",730849,9.1 Exceptional,"2,411 reviews",2411.0,4.0,"Minh An, Hoi An - City center","['Breakfast', 'Welcome drink', '+5']"
Serene Riverside Hotel Hoi An,Hoi An,Vietnam,"₫ 604,587",604587,8.9 Excellent,"1,218 reviews",1218.0,4.0,"Thanh Ha, Hoi An - City center","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Nesta Hoian Resort & Spa,Hoi An,Vietnam,"₫ 879,476",879476,9.4 Exceptional,167 reviews,167.0,5.0,"Cam Chau, Hoi An - 2.3 km to center","['Breakfast', 'Welcome drink', '+13']"
Vinpearl Resort & Golf Nam Hoi An,Hoi An,Vietnam,"₫ 2,199,074",2199074,8.7 Excellent,"2,636 reviews",2636.0,5.0,"Thang Binh, Hoi An - 12.4 km to center","['Breakfast', 'Free fitness center access', '+9']"
Smart Garden Homestay,Hoi An,Vietnam,"₫ 354,432",354432,,,,3.0,"Cẩm Phô, Hoi An - City center","['Parking', 'Free WiFi']"
Hoi An Historic Hotel,Hoi An,Vietnam,"₫ 1,271,276",1271276,8.9 Excellent,"6,648 reviews",6648.0,4.0,"Son Phong, Hoi An - City center","['Breakfast', 'Free fitness center access', '+7']"
Mulberry Collection Silk Village,Hoi An,Vietnam,"₫ 2,342,571",2342571,8.8 Excellent,"3,804 reviews",3804.0,4.0,"Cam Ha, Hoi An - 0.7 km to center",[]
Maris Beach Hotel Phu Quoc,Phu Quoc,Vietnam,"₫ 602,041",602041,8.3 Excellent,"1,059 reviews",1059.0,4.0,"Duong Dong, Phu Quoc Island - 0.9 km to center","['Breakfast', 'Welcome drink', '+3']"
Vinpearl Resort & Spa Phú Quốc,Phu Quoc,Vietnam,"₫ 1,832,939",1832939,8.8 Excellent,"8,308 reviews",8308.0,5.0,"Gành Dầu, Phu Quoc Island - 17.6 km to center","['Breakfast', 'Free fitness center access', '+12']"
Seashells Phu Quoc Hotel & Spa,Phu Quoc,Vietnam,"₫ 1,723,513",1723513,9.0 Exceptional,"14,271 reviews",14271.0,5.0,"Duong Dong, Phu Quoc Island - City center","['Breakfast', 'Free fitness center access', '+9']"
Vinholidays Fiesta Phú Quốc,Phu Quoc,Vietnam,"₫ 837,054",837054,8.9 Excellent,"7,910 reviews",7910.0,4.0,"Gành Dầu, Phu Quoc Island - 15.7 km to center","['Breakfast', 'Free fitness center access', '+3']"
Regent Phu Quoc By IHG,Phu Quoc,Vietnam,"₫ 29,398,148",29398148,9.4 Exceptional,"1,699 reviews",1699.0,5.0,"Duong To, Phu Quoc Island - 9.9 km to center",[]
Rocks Beach Boutique,Phu Quoc,Vietnam,"₫ 1,342,326",1342326,8.5 Excellent,458 reviews,458.0,4.0,"Ham Ninh, Phu Quoc Island - 11.5 km to center","['Breakfast', 'Welcome drink', '+5']"
An Phu Hotel,Phu Quoc,Vietnam,"₫ 543,862",543862,8.8 Excellent,"3,233 reviews",3233.0,3.0,"Duong Dong, Phu Quoc Island - City center","['Breakfast', 'Parking', 'Free WiFi']"
"La Festa Phu Quoc, Curio Collection by Hilton",Phu Quoc,Vietnam,"₫ 4,500,000",4500000,9.2 Exceptional,"2,480 reviews",2480.0,4.0,"An Thoi, Phu Quoc Island - 19.1 km to center","['Breakfast', 'Free Premium Wifi', '+4']"
La isla Apartments & Villas - Sea View & Fireworks Phu Quoc,Phu Quoc,Vietnam,"₫ 485,990",485990,8.2 Excellent,411 reviews,411.0,5.0,"An Thoi, Phu Quoc Island - 19.3 km to center","['Breakfast', 'Free fitness center access', '+3']"
SOL By Melia Phu Quoc,Phu Quoc,Vietnam,"₫ 2,104,976",2104976,8.5 Excellent,"3,311 reviews",3311.0,5.0,"Duong To, Phu Quoc Island - 5.8 km to center","['Breakfast', '+6']"
The Shells Resort & Spa - Phu Quoc,Phu Quoc,Vietnam,"₫ 1,707,662",1707662,8.3 Excellent,"5,722 reviews",5722.0,5.0,"Ong Lang, Phu Quoc Island - 2.8 km to center","['Breakfast', 'Welcome drink', 'Parking', '+2']"
Rosie Hillside Seaview Phu Quoc Apartment,Phu Quoc,Vietnam,"₫ 614,673",614673,8.8 Excellent,717 reviews,717.0,5.0,"An Thoi, Phu Quoc Island - 19.2 km to center","['Free pool access', 'Parking', 'Car rental', '+7']"
La La Sky Homestay Phu Quoc,Phu Quoc,Vietnam,"₫ 247,978",247978,,,,1.0,"Gành Dầu, Phu Quoc Island - 15.8 km to center","['Parking', 'Free WiFi']"
Venice Hotel Phu Quoc - Free Airport Shuttle & Sunset Town Tour,Phu Quoc,Vietnam,"₫ 1,535,334",1535334,9.1 Exceptional,480 reviews,480.0,4.0,"An Thoi, Phu Quoc Island - 19.0 km to center","['Breakfast', 'Free fitness center access', '+10']"
Kingo Retreat,Phu Quoc,Vietnam,"₫ 2,341,955",2341955,9.2 Exceptional,"1,142 reviews",1142.0,4.0,"Ong Lang, Phu Quoc Island - 4.6 km to center",[]
HANZ Lagoon Sunset Hotel,Phu Quoc,Vietnam,"₫ 546,113",546113,9.5 Exceptional,490 reviews,490.0,4.0,"An Thoi, Phu Quoc Island - 19.0 km to center","['Welcome drink', 'Parking', 'Free WiFi']"
Muong Thanh Luxury Phu Quoc Hotel,Phu Quoc,Vietnam,"₫ 933,244",933244,7.9 Very good,"1,803 reviews",1803.0,4.0,"Duong To, Phu Quoc Island - 7.3 km to center","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Sunset Beach Resort & Spa,Phu Quoc,Vietnam,"₫ 1,162,864",1162864,8.9 Excellent,"1,926 reviews",1926.0,4.0,"Duong Dong, Phu Quoc Island - City center","['Breakfast', 'Free fitness center access', '+4']"
Coral Bay Hotel & Resort Phu Quoc,Phu Quoc,Vietnam,"₫ 763,005",763005,8.8 Excellent,"3,120 reviews",3120.0,3.0,"Duong Dong, Phu Quoc Island - 0.4 km to center","['Breakfast', 'Parking', 'Free WiFi']"
Saigon Phu Quoc Resort and Spa,Phu Quoc,Vietnam,"₫ 764,937",764937,8.4 Excellent,"3,208 reviews",3208.0,4.0,"Duong Dong, Phu Quoc Island - City center","['Breakfast', 'Welcome drink', 'Parking', '+4']"
Pistachio Hotel Sapa,Sapa,Vietnam,"₫ 2,761,758",2761758,9.3 Exceptional,"10,705 reviews",10705.0,4.0,"Sa Pa City Center, Sapa - City center","['Breakfast', 'Free fitness center access', '+3']"
Hotel de la Coupole - MGallery,Sapa,Vietnam,"₫ 3,037,500",3037500,9.3 Exceptional,"4,517 reviews",4517.0,5.0,"Sa Pa City Center, Sapa - City center","['Breakfast', 'Parking', 'Free WiFi', '+3']"
A25 Hotel - 29 Thác Bạc - Sapa,Sapa,Vietnam,"₫ 445,402",445402,9.4 Exceptional,182 reviews,182.0,3.0,"Sa Pa City Center, Sapa - City center","['Breakfast', 'Welcome drink', 'Local breakfast', '+2']"
Bamboo Sapa Hotel,Sapa,Vietnam,"₫ 2,575,815",2575815,9.1 Exceptional,"2,207 reviews",2207.0,4.0,"Sa Pa City Center, Sapa - City center","['Breakfast', 'Free fitness center access', '+4']"
Viettrekking Sapa,Sapa,Vietnam,"₫ 2,075,628",2075628,9.0 Exceptional,"2,147 reviews",2147.0,4.0,"Sa Pa City Center, Sapa - City center",[]
Sapa Jade Hill Resort & Spa,Sapa,Vietnam,"₫ 1,520,423",1520423,8.8 Excellent,"1,411 reviews",1411.0,4.0,"Lao Chải Tả Ván, Sapa - 1.4 km to center","['Breakfast', 'Welcome drink', 'Parking', '+5']"
Sapa Heaven House,Sapa,Vietnam,"₫ 383,749",383749,8.4 Excellent,510 reviews,510.0,3.0,"Sa Pa City Center, Sapa - City center","['Breakfast', 'Parking', 'Express check-in', '+1']"
DeLaSol Sapa Hotel,Sapa,Vietnam,"₫ 953,812",953812,9.0 Exceptional,"1,595 reviews",1595.0,4.0,"Sa Pa City Center, Sapa - City center","['Breakfast', 'Welcome drink', 'Parking', 'Free WiFi']"
Pao's Sapa Leisure Hotel,Sapa,Vietnam,"₫ 2,067,293",2067293,9.0 Exceptional,"5,261 reviews",5261.0,5.0,"Sa Pa City Center, Sapa - 0.5 km to center","['Breakfast', 'Free fitness center access', '+4']"
Sapa CatCat Hills Resort & Spa,Sapa,Vietnam,"₫ 1,412,498",1412498,9.0 Exceptional,"2,836 reviews",2836.0,4.0,"Sa Pa City Center, Sapa - 0.3 km to center","['Breakfast', 'Free fitness center access', '+4']"
