hotel_name,city,country,price_per_night,rating,rating_status,review_count,stars,location,distance_to_center,transportation_options,amenities
Pullman Phu Quoc Beach Resort,Phu Quoc,Vietnam,3868750,,8.8Excellent,4375,5.0,"Duong To, Phu Quoc Island",8.7,['Airport transfer [both ways]'],"['Breakfast', 'Free fitness center access', '+5']"
Rosie Hillside Seaview Phu Quoc Apartment,Phu Quoc,Vietnam,767404,,8.9Excellent,759,5.0,"An Thoi, Phu Quoc Island",19.2,"['Nearest transportation options', 'Parking']","['Free pool access', 'Parking', 'Car rental', '+7']"
Coral Bay Hotel & Resort Phu Quoc,Phu Quoc,Vietnam,961402,,8.8Excellent,3158,3.0,"Duong Dong, Phu Quoc Island",0.4,['Parking'],"['Breakfast', 'Parking', 'Free WiFi']"
Seashells Phu Quoc Hotel & Spa,Phu Quoc,Vietnam,2828095,,9.0Exceptional,14460,5.0,"Duong Dong, Phu Quoc Island",0.0,['Airport transfer [both ways]'],"['Breakfast', 'Free fitness center access', '+6']"
Vinholidays Fiesta Phú Quốc,Phu Quoc,Vietnam,1261023,,8.9Excellent,8080,4.0,"Gành Dầu, Phu Quoc Island",15.7,[],"['Breakfast', 'Free fitness center access', '+3']"
Thien Thanh Phu Quoc Resort,Phu Quoc,Vietnam,1527425,,9.1Exceptional,2152,5.0,"Duong Dong, Phu Quoc Island",0.0,['Airport transfer [both ways]'],"['Breakfast', 'Free fitness center access', '+8']"
Mercury Phu Quoc Resort and Villas,Phu Quoc,Vietnam,1251012,,8.5Excellent,2057,4.0,"Cua Lap, Phu Quoc Island",4.0,['Airport transfer [both ways]'],"['Breakfast', 'Free fitness center access', '+7']"
Rova Hotel Phú Quốc,Phu Quoc,Vietnam,868298,,9.1Exceptional,433,3.0,"An Thoi, Phu Quoc Island",18.8,"['Nearest transportation options', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
Sapa Heaven House,Sapa,Vietnam,404487,,8.4Excellent,547,3.0,"Sa Pa City Center, Sapa",0.0,['Parking'],"['Breakfast', 'Parking', 'Express check-in', '+1']"
Sapa Jade Hill Resort & Spa,Sapa,Vietnam,1994580,,8.8Excellent,1427,4.0,"Lao Chải Tả Ván, Sapa",1.4,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+5']"
Pao's Sapa Leisure Hotel,Sapa,Vietnam,5308751,,9.0Exceptional,5334,5.0,"Sa Pa City Center, Sapa",0.5,['Sapa Bus Station'],"['Breakfast', 'Free fitness center access', '+3']"
Pistachio Hotel Sapa,Sapa,Vietnam,3017653,,9.3Exceptional,10864,4.0,"Sa Pa City Center, Sapa",0.0,['Sapa Bus Station'],[]
DeLaSol Sapa - Central Boutique Hotel,Sapa,Vietnam,910309,,8.9Excellent,1648,4.0,"Sa Pa City Center, Sapa",0.0,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+2']"
Viettrekking Sapa,Sapa,Vietnam,1301296,,9.0Exceptional,2206,4.0,"Sa Pa City Center, Sapa",0.0,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Parking', 'Welcome drink', 'Free WiFi']"
KK Sapa Hotel,Sapa,Vietnam,3069698,,9.2Exceptional,8495,5.0,"Sa Pa City Center, Sapa",0.1,['Sapa Bus Station'],"['Breakfast', 'Free fitness center access', '+6']"
Hotel de la Coupole - MGallery,Sapa,Vietnam,3826800,,9.3Exceptional,4576,5.0,"Sa Pa City Center, Sapa",0.0,['Sapa Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Sapa CatCat Hills Resort & Spa,Sapa,Vietnam,1849778,,9.0Exceptional,2954,4.0,"Sa Pa City Center, Sapa",0.3,['Sapa Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Saparis Station Hostel & Travel,Sapa,Vietnam,329100,,8.5Excellent,200,3.0,"Sa Pa City Center, Sapa",0.0,['Parking'],"['Breakfast', 'Parking', 'Free WiFi']"
The Mong Village Resort & Spa,Sapa,Vietnam,1920044,,8.4Excellent,419,4.0,"Lao Chải Tả Ván, Sapa",1.9,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Parking', 'Express check-in']"
Silk Path Grand Sapa Resort & Spa,Sapa,Vietnam,2487150,,9.3Exceptional,3983,5.0,"Sa Pa City Center, Sapa - 29 m to center",,['Sapa Bus Station'],"['Breakfast', 'Free fitness center access', '+6']"
Sapa Harmony Homestay,Sapa,Vietnam,259981,,9.4Exceptional,322,3.0,"Sa Pa City Center, Sapa",0.0,['Parking'],"['Parking', 'Free WiFi']"
Bamboo Sapa Hotel,Sapa,Vietnam,2806348,,9.1Exceptional,2326,4.0,"Sa Pa City Center, Sapa",0.0,['Sapa Bus Station'],[]
Azure Sapa Hotel,Sapa,Vietnam,931601,,8.7Excellent,894,4.0,"Sa Pa City Center, Sapa",0.0,['Sapa Bus Station'],"['Breakfast', 'Express check-in', 'Free WiFi']"
A25 Hotel - 29 Thác Bạc - Sapa,Sapa,Vietnam,947107,,9.4Exceptional,214,3.0,"Sa Pa City Center, Sapa",0.0,['Sapa Bus Station'],"['Breakfast', 'Welcome drink', '+2']"
Sapa Center View Hotel,Sapa,Vietnam,322751,,7.9Very good,712,2.0,"Sa Pa City Center, Sapa",0.0,"['Sapa Bus Station', 'Parking']","['Parking', 'Express check-in', 'Free WiFi']"
"Hotel Sapa Square, Affiliated by Melia",Sapa,Vietnam,1309524,,8.9Excellent,1122,4.0,"Sa Pa City Center, Sapa",0.0,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Parking', 'Welcome drink', 'Free WiFi']"
The Link Farmstay,Sapa,Vietnam,322256,,9.1Exceptional,370,5.0,"Sa Pa City Center, Sapa",1.1,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+4']"
Lá Đỏ 2 Homestay & Coffee,Sapa,Vietnam,1412579,,9.0Exceptional,675,5.0,"Sa Pa City Center, Sapa",0.0,"['Sapa Bus Station', 'Parking']","['Breakfast', 'Parking', 'Car rental', '+3']"
Lady Hill Sapa Resort,Sapa,Vietnam,4593250,,9.2Exceptional,1910,5.0,"Sa Pa City Center, Sapa",1.3,['Sapa Bus Station'],"['Breakfast', 'Free fitness center access', '+5']"
Scenery Hotel Sapa,Sapa,Vietnam,380073,,8.7Excellent,1002,3.0,"Sa Pa City Center, Sapa",0.0,['Sapa Bus Station'],"['Breakfast', 'Free WiFi']"
Radisson Resort Phan Thiet,Phan Thiet,Vietnam,2804233,,9.0Exceptional,1636,4.0,"Tien Thanh, Phan Thiet",19.1,['South Phan Thiet Bus Station'],"['Breakfast', 'Lunch', 'Free WiFi', 'Dinner', '+1']"
Apec Mandala Mui Ne - Resort Hotel Apartment,Phan Thiet,Vietnam,598688,,8.0Excellent,324,5.0,"Mui Ne, Phan Thiet",11.6,['Parking'],"['Parking', 'Motorcycle rental', 'Car rental', '+2']"
Sea Lion Beach Resort Mui Ne,Phan Thiet,Vietnam,938968,,8.1Excellent,826,4.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop']","['Breakfast', 'Free fitness center access', '+3']"
Centara Mirage Resort Mui Ne,Phan Thiet,Vietnam,1851300,,8.7Excellent,10096,5.0,"Mui Ne, Phan Thiet",1.8,"['Phuong Trang Coach Station', 'Sinh Cafe Coach Stop']","['Breakfast', 'Welcome drink', 'Lunch', '+6']"
Vipol Mui Ne Hotel & Spa,Phan Thiet,Vietnam,1252084,,9.1Exceptional,2490,4.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop']","['Breakfast', 'Free fitness center access', '+8']"
Asteria Mui Ne Resort,Phan Thiet,Vietnam,3525136,,8.6Excellent,738,5.0,"Mui Ne, Phan Thiet",5.3,"['Phuong Trang Coach Station', 'Sinh Cafe Coach Stop']",[]
The Clay Resort,Phan Thiet,Vietnam,1417851,,8.8Excellent,1876,3.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop']",['Breakfast']
RUBENS BOUTIQUE HOTEL,Phan Thiet,Vietnam,918519,,9.3Exceptional,2267,3.0,"Phú Thủy, Phan Thiet",7.6,"['Phan Thiet Train Station', 'Binh Thuan Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', 'Free WiFi']"
Muong Thanh Holiday Mui Ne Hotel,Phan Thiet,Vietnam,1276773,,8.0Excellent,4743,4.0,"Mui Ne, Phan Thiet",0.7,"['Phuong Trang Coach Station', 'Sinh Cafe Coach Stop']","['Breakfast', 'Free fitness center access', '+2']"
Lotus Village Resort - Muine,Phan Thiet,Vietnam,1038552,,8.2Excellent,5509,3.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop', 'Parking']","['Breakfast', 'Parking', 'Express check-in', '+1']"
DU PARC RESORT MUI NE,Phan Thiet,Vietnam,1279337,,8.7Excellent,290,4.0,"Mui Ne, Phan Thiet",11.3,[],"['Breakfast', 'Welcome drink', 'Late check-out', '+6']"
Pandora Sand Hill Mũi Né Resort,Phan Thiet,Vietnam,973498,,9.0Exceptional,287,4.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+5']"
Perolas Villas Resort - Ke Ga Bay,Phan Thiet,Vietnam,3195639,,8.8Excellent,268,4.0,"Ham Thuan Nam, Phan Thiet",36.5,[],"['2 meals included', 'Breakfast', '+14']"
Movenpick Resort Phan Thiet,Phan Thiet,Vietnam,1866086,,8.7Excellent,3833,5.0,"Tien Thanh, Phan Thiet",18.2,"['South Phan Thiet Bus Station', 'Parking']","['Breakfast', 'Parking', 'Lunch', 'Free WiFi', '+4']"
Amana Hotel Phan Thiet,Phan Thiet,Vietnam,842817,,9.2Exceptional,230,3.0,"Phú Thủy, Phan Thiet",7.7,"['South Phan Thiet Bus Station', 'Parking']","['Breakfast', 'Parking', 'Lunch', 'Free WiFi']"
The Anam Mui Ne,Phan Thiet,Vietnam,4274909,,9.3Exceptional,3247,5.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop']","['Breakfast', 'Free fitness center access', '+6']"
Meraki Oasis Hotel,Phan Thiet,Vietnam,797093,,8.6Excellent,4159,2.0,"Mui Ne, Phan Thiet",0.0,"['Sinh Cafe Coach Stop', 'Phuong Trang Coach Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
Sailing Club Resort Mui Ne,Phan Thiet,Vietnam,3217269,,9.1Exceptional,1741,4.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
Sunsea Resort,Phan Thiet,Vietnam,2624868,,8.9Excellent,992,3.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop']",[]
The Cliff Resort and Residences,Phan Thiet,Vietnam,13560245,,9.0Exceptional,6598,4.0,"Mui Ne, Phan Thiet",0.8,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop']","['Breakfast', 'Free fitness center access', '+3']"
De' TuVa resort Mui Ne,Phan Thiet,Vietnam,1725864,,8.5Excellent,295,3.0,"Mui Ne, Phan Thiet",0.5,"['Phuong Trang Coach Station', 'Sinh Cafe Coach Stop', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
Bamboo Village Beach Resort,Phan Thiet,Vietnam,3096852,,9.3Exceptional,6282,4.0,"Mui Ne, Phan Thiet",0.0,"['Hanh Cafe Coach Stop', 'Sinh Cafe Coach Stop', 'Parking']","['Breakfast', 'Parking', 'Free WiFi', '+1']"
Golden Sun Hotel - Dalat,Dalat,Vietnam,1971459,,9.2Exceptional,780,5.0,"Xuan Huong Lake, Dalat",0.7,"['Dalat Old Railway Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
La Fleur Premium Central Apartment Hotel,Dalat,Vietnam,1056526,,9.2Exceptional,2281,4.0,"Dalat City Center, Dalat",0.4,['Dalat Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Sweet Lavender Hotel,Dalat,Vietnam,475222,,8.7Excellent,1268,3.0,"Dalat City Center, Dalat",0.0,['Dalat Bus Station'],"['Room sanitizing', 'Medical staff on call', '+2']"
Goldient Boutique Hotel,Dalat,Vietnam,1178144,,9.1Exceptional,2632,4.0,"Dalat City Center, Dalat",1.6,['Dalat Bus Station'],"['Breakfast', 'Free fitness center access', '+8']"
Le House Dalat,Dalat,Vietnam,944465,,9.2Exceptional,1145,4.0,"Dalat City Center, Dalat",0.0,"['Dalat Old Railway Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+2']"
Greenview City Hotel,Dalat,Vietnam,507211,,9.1Exceptional,626,3.0,"Old Train Station, Dalat",1.9,['Dalat Old Railway Station'],[]
Colline Dalat,Dalat,Vietnam,1979268,,8.7Excellent,5654,4.0,"Dalat City Center, Dalat",0.0,"['Dalat Old Railway Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+4']"
MerPerle Dalat Hotel,Dalat,Vietnam,2008655,,8.9Excellent,2029,5.0,"Old Train Station, Dalat",1.7,['Dalat Old Railway Station'],"['Breakfast', 'Free fitness center access', '+4']"
Villa đa lat Trung Nghia 1,Dalat,Vietnam,185185,,8.0Excellent,235,4.0,"Old Train Station, Dalat",2.0,['Dalat Old Railway Station'],"['Express check-in', 'Free WiFi']"
Le Recit Boutique Hotel de Dalat,Dalat,Vietnam,1480274,,8.9Excellent,2740,4.0,"Dalat City Center, Dalat",0.0,"['Dalat Old Railway Station', 'Parking']","['Breakfast', 'Parking', 'Free Premium Wifi', '+2']"
Mơ Stay - Forest Resort,Dalat,Vietnam,4166138,,9.4Exceptional,547,4.0,"Tuyen Lam Lake, Dalat",6.4,"['Dalat Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', 'Free WiFi']"
The Western Hill Hotel,Dalat,Vietnam,966707,,7.9Very good,2696,4.0,"Dalat City Center, Dalat",0.0,"['Dalat Old Railway Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+5']"
Artis Hotel Dalat,Dalat,Vietnam,907548,,9.1Exceptional,2165,3.0,"Dalat City Center, Dalat",0.0,"['Dalat Bus Station', 'Parking']","['Welcome drink', 'Parking', 'Express check-in', '+1']"
Len's Hotel,Dalat,Vietnam,738055,,8.6Excellent,2049,3.0,"Dalat City Center, Dalat",0.0,"['Dalat Old Railway Station', 'Parking']","['Breakfast', 'Parking', 'Free Premium Wifi', '+2']"
Mùa Dalat Wellness Hotel,Dalat,Vietnam,1153480,,9.2Exceptional,583,4.0,"Dalat City Center, Dalat",0.9,['Dalat Old Railway Station'],"['Breakfast', 'Welcome drink', '+9']"
Brick House Dalat Hotel,Dalat,Vietnam,695393,,8.9Excellent,2248,3.0,"Dalat City Center, Dalat",0.8,"['Dalat Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', 'Free WiFi']"
He Maison Boutique Stay & cafe,Dalat,Vietnam,1314580,,9.3Exceptional,218,3.0,"Old Train Station, Dalat",2.6,[],[]
Amory Dalat Hotel,Dalat,Vietnam,443917,,9.3Exceptional,41,4.0,"Old Train Station, Dalat",3.1,['Parking'],"['Welcome drink', 'Parking', 'Express check-in', '+1']"
Michelia Valley Hotel,Dalat,Vietnam,211865,,9.1Exceptional,142,2.0,"Tuyen Lam Lake, Dalat",1.9,[],['Free WiFi']
Terracotta Hotel and Resort Dalat,Dalat,Vietnam,1545908,,8.7Excellent,8392,4.0,"Tuyen Lam Lake, Dalat",4.9,['Dalat Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Dalat Palace Heritage Hotel,Dalat,Vietnam,2933858,,8.8Excellent,1754,5.0,"Dalat City Center, Dalat",0.4,"['Dalat Bus Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
Be U Hotel City View,Dalat,Vietnam,303764,,8.4Excellent,1896,3.0,"Dalat City Center, Dalat",0.0,"['Dalat Old Railway Station', 'Parking']","['Welcome drink', 'Parking', '+3']"
Melia Vinpearl Hue,Hue,Vietnam,1734778,,9.4Exceptional,8435,5.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free gift', 'Free WiFi', '+5']"
Kly Luxury Hotel,Hue,Vietnam,434431,,9.2Exceptional,347,,"Hue City, Hue",0.0,"['Hue Railway Station', 'Parking']","['Late check-out', 'Parking', 'Car rental', '+4']"
Ancient Hue Garden Houses,Hue,Vietnam,3259405,,9.5Exceptional,715,5.0,"Imperial Citadel, Hue",2.2,"['Hue Railway Station', 'An Hoa Bus Station']","['Breakfast', 'Welcome drink', '+5']"
LA VELA HUE HOTEL,Hue,Vietnam,1039016,,9.2Exceptional,3478,5.0,"Hue City, Hue",2.9,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+4']"
Mondial Hotel Hue,Hue,Vietnam,956999,,8.5Excellent,2468,4.0,"Hue City, Hue",0.4,"['Hue Railway Station', 'Dong Ba Bus Station']",[]
Magnolia Boutique Hue,Hue,Vietnam,626946,,9.2Exceptional,85,4.0,"Hue City, Hue",0.9,['Parking'],"['Parking', 'Free WiFi']"
TTC Imperial Hotel,Hue,Vietnam,1355964,,9.0Exceptional,4427,5.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+3']"
Moonlight Hotel Hue,Hue,Vietnam,674421,,8.8Excellent,2809,4.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+3']"
Huong Giang Hotel Resort & Spa,Hue,Vietnam,734793,,8.5Excellent,4023,4.0,"Perfume River, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+5']"
Indochine Palace Hotel,Hue,Vietnam,1746032,,9.2Exceptional,2599,5.0,"Hue City, Hue",0.5,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+4']"
Muong Thanh Holiday Hue Hotel,Hue,Vietnam,1031746,,8.5Excellent,1841,4.0,"Perfume River, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Welcome drink', 'Late check-out', '+3']"
Alba Spa Hotel,Hue,Vietnam,719577,,9.0Exceptional,2890,4.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Welcome drink', 'Late check-out', '+9']"
Silk Path Grand Hue Hotel,Hue,Vietnam,1843987,,9.4Exceptional,1978,5.0,"Hue City, Hue",0.7,"['Hue Railway Station', 'Dong Ba Bus Station']","['Breakfast', 'Free fitness center access', '+6']"
Senna Hue Hotel,Hue,Vietnam,1513228,,9.4Exceptional,3733,5.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+6']"
Moon Sun Boutique Villa,Hue,Vietnam,999947,,9.1Exceptional,381,3.0,"Hue City, Hue",4.8,"['Hue Railway Station', 'Dong Ba Bus Station']",[]
Saigon Morin Hotel,Hue,Vietnam,1252121,,8.7Excellent,3950,4.0,"Perfume River, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+4']"
Hoàn Cầu Hotel,Hue,Vietnam,376738,,9.1Exceptional,56,3.0,"Hue City, Hue",0.0,['Parking'],"['Welcome drink', 'Parking', '+5']"
Century Riverside Hotel Hue,Hue,Vietnam,784532,,8.1Excellent,4146,4.0,"Perfume River, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+8']"
Thanh Lich Royal Boutique Hotel,Hue,Vietnam,1172023,,9.1Exceptional,4205,4.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station']","['Breakfast', 'Free fitness center access', '+3']"
Pilgrimage Village Boutique Resort & Spa,Hue,Vietnam,2083135,,9.5Exceptional,3212,5.0,"Hue City, Hue",2.5,"['Hue Railway Station', 'Dong Ba Bus Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
Hướng Dương Hotel,Hue,Vietnam,565643,,8.0Excellent,832,3.0,"Hue City, Hue",0.0,"['Dong Ba Bus Station', 'Hue Railway Station', 'Parking']","['Welcome drink', 'Parking', 'Room sanitizing', '+6']"
Sahi Homestay Retreat,Hue,Vietnam,753221,,8.9Excellent,287,4.0,"Perfume River, Hue",2.3,"['Hue Railway Station', 'An Hoa Bus Station', 'Parking']","['Welcome drink', 'Free pool access', 'Parking', '+2']"
