hotel_name,city,country,price_per_night,rating,rating_status,review_count,stars,location,distance_to_center,transportation_options,amenities
Fukurai Boutique Apartments Ha Noi,Hanoi,Vietnam,648438,,8.4Excellent,693,3.0,"Ba Dinh, Hanoi",2.7,"['Hanoi Railway Station', 'Parking']","['Breakfast', 'Parking', 'Express check-in', '+1']"
Lakeside Palace Hotel,Hanoi,Vietnam,683000,,7.5Very good,1311,3.0,"Hoan Kiem District, Hanoi",0.0,['Hanoi Railway Station'],"['Express check-in', 'Free WiFi']"
M Village Hotel Kim Mã,Hanoi,Vietnam,1107084,,8.4Excellent,24,4.0,"Ba Dinh, Hanoi",1.4,[],"['Breakfast', 'Free fitness center access', 'Free WiFi']"
Delica Premium Hotel,Hanoi,Vietnam,1651083,,9.4Exceptional,4253,4.0,"Old Quarter, Hanoi",0.0,['Hanoi Railway Station'],[]
Hanoi Memory Premier Hotel & Spa,Hanoi,Vietnam,731665,,7.3Very good,2732,4.0,"Old Quarter, Hanoi",0.0,['Hanoi Railway Station'],"['Breakfast', 'Welcome drink', 'Afternoon tea', '+4']"
Hanoi Veris Boutique Hotel & Spa,Hanoi,Vietnam,514327,,7.9Very good,2852,3.0,"Hoan Kiem District, Hanoi",0.0,['Hanoi Railway Station'],"['Breakfast', 'Free Premium Wifi', '+2']"
Imperial Hotel & Spa,Hanoi,Vietnam,2116476,,8.9Excellent,3029,4.0,"Hoan Kiem District, Hanoi",0.0,['Hanoi Railway Station'],"['Breakfast', 'Welcome drink', 'Late check-out', '+4']"
Fortuna Hotel Hanoi,Hanoi,Vietnam,1985260,,7.9Very good,4730,4.0,"Ba Dinh, Hanoi",2.4,['Hanoi Railway Station'],"['Breakfast', 'Free fitness center access', '+2']"
M Village Hotel Hồ Gươm,Hanoi,Vietnam,1408632,,9.3Exceptional,780,3.0,"Hoan Kiem District, Hanoi",0.1,['Hanoi Railway Station'],"['Room sanitizing', 'Free Premium Wifi', '+3']"
Moonlit Suites Hotel,Hanoi,Vietnam,485210,,8.9Excellent,516,4.0,"Tay Ho District, Hanoi",3.8,['Hanoi Railway Station'],"['Express check-in', 'Free WiFi']"
Rey Hotel Hanoi,Hanoi,Vietnam,2370148,,9.1Exceptional,1813,4.0,"Old Quarter, Hanoi",0.0,"['Hanoi Railway Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+2']"
Grand Plaza Hotel Hanoi,Hanoi,Vietnam,1970802,,8.3Excellent,5320,5.0,"Cau Giay, Hanoi",5.2,['Hanoi Railway Station'],"['Breakfast', 'Free fitness center access', '+10']"
Canvas Danang Beach Hotel,Da Nang,Vietnam,2013251,,8.9Excellent,3705,4.0,"Phước Mỹ, Da Nang",2.1,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+9']"
Nesta Hotel Da Nang,Da Nang,Vietnam,1265254,,9.1Exceptional,5010,4.0,"Phước Mỹ, Da Nang",2.5,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Welcome drink', '+5']"
Golden Lotus Grand Da Nang,Da Nang,Vietnam,1186220,,9.3Exceptional,7415,4.0,"Phước Mỹ, Da Nang",2.5,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+12']"
Danang Beach Hotel by RAON,Da Nang,Vietnam,291684,,9.6Exceptional,265,4.0,"Phước Mỹ, Da Nang",2.5,"['Da Nang Railway Station', 'Parking']","['Parking', 'Late check-in', 'Free Premium Wifi', '+6']"
Muong Thanh Luxury Da Nang hotel,Da Nang,Vietnam,1349611,,8.6Excellent,7410,5.0,"Phước Mỹ, Da Nang",2.5,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+2']"
Muong Thanh Grand Da Nang Hotel,Da Nang,Vietnam,714286,,8.1Excellent,4627,4.0,"Phước Mỹ, Da Nang",0.8,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+4']"
Purama Resort - Luxury Pool Villa,Da Nang,Vietnam,9403064,,8.8Excellent,91,5.0,"Hòa Hải, Da Nang",3.6,"['Da Nang Railway Station', 'Da Nang Central Bus Station']",[]
Awaken Danang Hotel,Da Nang,Vietnam,1492063,,9.0Exceptional,4197,5.0,"Phước Mỹ, Da Nang",2.1,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+8']"
G8 Luxury Hotel and Spa Da Nang,Da Nang,Vietnam,600080,,8.8Excellent,5863,4.0,"Hải Châu, Da Nang",0.0,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
Sunset Sea Hotel,Da Nang,Vietnam,645454,,8.7Excellent,1900,4.0,"An Hai Bac, Da Nang",1.7,"['Da Nang Railway Station', 'Da Nang Central Bus Station', 'Airport drop-off']","['Free fitness center access', 'Airport drop-off', '+12']"
Muong Thanh Luxury Song Han Hotel,Da Nang,Vietnam,863420,,8.3Excellent,3578,5.0,"Hải Châu, Da Nang",0.1,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+2']"
Ocean Haven Hotel,Da Nang,Vietnam,304117,,8.9Excellent,965,3.0,"Phước Mỹ, Da Nang",1.9,"['Da Nang Railway Station', 'Da Nang Central Bus Station', 'Parking']","['Breakfast', 'Parking', 'Car rental', '+7']"
Golden Lotus Hotel Da Nang - Rooftop Bar Sea View,Da Nang,Vietnam,1059881,,9.3Exceptional,3927,4.0,"Phước Mỹ, Da Nang",2.6,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Welcome drink', 'Late check-out', '+10']"
DLG Hotel Danang,Da Nang,Vietnam,1544163,,9.0Exceptional,4712,5.0,"Phước Mỹ, Da Nang",2.3,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+7']"
Caro Premium Danang Hotel,Da Nang,Vietnam,1204292,,9.4Exceptional,444,4.0,"Phước Mỹ, Da Nang",0.6,[],"['Breakfast', 'Free fitness center access', '+7']"
Royal Beach Hotel,Da Nang,Vietnam,318790,,8.7Excellent,3708,4.0,"Phước Mỹ, Da Nang",1.9,"['Da Nang Railway Station', 'Da Nang Central Bus Station', 'Parking']","['Parking', 'Room sanitizing', '+4']"
Parosand Da Nang Hotel (Belle Maison Parosand Da Nang Hotel),Da Nang,Vietnam,1165818,,9.2Exceptional,3839,4.0,"Phước Mỹ, Da Nang",2.1,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
The Ocean Estates Resort,Da Nang,Vietnam,10549921,,9.3Exceptional,77,5.0,"Hòa Hải, Da Nang",9.4,[],[]
Sandy Beach Non Nuoc Resort,Da Nang,Vietnam,665502,,8.0Excellent,4487,4.0,"Hòa Hải, Da Nang",8.7,[],"['Breakfast', 'Free fitness center access', '+5']"
Moonlight Hotel Da Nang,Da Nang,Vietnam,342152,,8.0Excellent,3015,3.0,"Hải Châu, Da Nang",0.0,"['Da Nang Railway Station', 'Da Nang Central Bus Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi']"
